Type,Country,Class,Role,Date,Status,No.,Notes
NGAD (Penetrating Counter-Air (PCA)),United States,Supersonic,Fighter,,Project,,To replace USAF´s F-22 Raptors.
Northrop Tacit Blue,United States,Subsonic,Experimental,1982,Prototype,1,
Northrop YF-23,United States,Supersonic,Fighter,1990,Prototype,2,
Northrop Grumman B-2 Spirit,United States,Subsonic,Bomber,1989,Production,21,
Northrop Grumman B-21 Raider,United States,Subsonic,Bomber,2023,Production,3+,
Northrop Grumman RQ-180,United States,UAV,,,Production,,
Northrop Grumman X-47A Pegasus,United States,UCAV,Experimental,2003,Prototype,,
Northrop Grumman X-47B,United States,UCAV,Experimental,2003,Prototype,2,
Ryan AQM-91 Firefly,United States,UAV,Experimental,,,,
Saab KFS,Sweden,Supersonic,Fighter,2023,Prototype,,Konceptet Framtidens Stridsflyg[67]
Shenyang J-35,China,Supersonic,Fighter,2012,,,
Shenyang J-50,China,Supersonic,Fighter,2024,,,
Sukhoi Okhotnik,Russia,UCAV,Experimental,,Prototype,2[68],Non-stealthy circular exhaust[68]
Sukhoi Su-57,Russia,Supersonic,Fighter,2010,Production,21+,
Sukhoi Su-75 Checkmate,Russia,Supersonic,Stealth Multirole Fighter,2024,Project,,
TAI Anka-3,Turkey,UCAV,,2023,Prototype,2,
TAI Kaan,Turkey,Supersonic,Fighter,2024,Prototype,1,
Tupolev PAK DA,Russia,Subsonic,Bomber,,Project,,
Windecker YE-5,United States,Tractor,Experimental,1973,Prototype,1,"Stealth research, not fully stealthy."
Xian H-20,China,Subsonic,Bomber,,Project,,
Yakovlev Yak-201,Russia,Supersonic,Fighter,,Project,,VTOL
